match_id,team_1,team_2,league,date,winner,gamelength,firsttower_team,firstbaron_team
ESPORTSTMNT02_2576552,Cloud9,Evil Geniuses,LCS,2022-02-06 22:19:59,Cloud9,2327,Cloud9,1
ESPORTSTMNT02_2576568,FlyQuest,Golden Guardians,LCS,2022-02-06 23:28:15,FlyQuest,2049,Golden Guardians,1
ESPORTSTMNT02_2576579,Immortals,Team Liquid,LCS,2022-02-07 00:30:16,Team Liquid,1745,Team Liquid,1
ESPORTSTMNT02_2660584,Cloud9,Team Liquid,LCS,2022-03-13 18:59:56,Cloud9,1900,Cloud9,0
ESPORTSTMNT02_2660650,FlyQuest,100 Thieves,LCS,2022-03-13 20:16:37,100 Thieves,1918,100 Thieves,1
ESPORTSTMNT02_2660672,TSM,Evil Geniuses,LCS,2022-03-13 21:16:11,Evil Geniuses,1488,Evil Geniuses,1
ESPORTSTMNT02_2660703,Dignitas,Immortals,LCS,2022-03-13 22:11:02,Dignitas,1799,Dignitas,0
ESPORTSTMNT02_2660724,Golden Guardians,Counter Logic Gaming,LCS,2022-03-13 23:02:48,Counter Logic Gaming,2043,Counter Logic Gaming,2
ESPORTSTMNT02_2670222,Golden Guardians,100 Thieves,LCS,2022-03-12 21:07:29,100 Thieves,2769,Golden Guardians,0
ESPORTSTMNT02_2670260,FlyQuest,Counter Logic Gaming,LCS,2022-03-12 22:28:52,Counter Logic Gaming,2355,FlyQuest,1
ESPORTSTMNT02_2670281,Evil Geniuses,Team Liquid,LCS,2022-03-12 23:34:14,Team Liquid,2263,Team Liquid,0
ESPORTSTMNT02_2670306,Cloud9,Immortals,LCS,2022-03-13 00:38:37,Cloud9,1555,Cloud9,0
ESPORTSTMNT02_2670314,TSM,Dignitas,LCS,2022-03-13 01:27:17,Dignitas,2389,Dignitas,0
ESPORTSTMNT02_2964242,Evil Geniuses,TSM,LCS,2022-09-02 20:28:02,TSM,2783,TSM,0
ESPORTSTMNT02_2964246,Evil Geniuses,TSM,LCS,2022-09-02 21:19:09,Evil Geniuses,2188,Evil Geniuses,0
